Time,X,V,KE,PE
1e-09,0.00756771724715962,67717.2471596201,0.013024092578708305,16.37861283179174
2e-09,0.007770653194494345,202935.94733472494,0.11696794268347208,16.27450309875701
3.0000000000000004e-09,0.00810816114724167,337507.9527473245,0.32353174947752217,16.066615398547484
4e-09,0.008579165570839027,471004.42359735805,0.6300845880584717,15.755612205646761
5e-09,0.009182165518323312,602999.9474842849,1.032722011130168,15.34248459205866
6.000000000000001e-09,0.009915239413389534,733073.8950662221,1.5263157784677959,14.82854906906402
7.000000000000001e-09,0.010776051173866472,860811.7604769374,2.104579173369594,14.246727220172858
8e-09,0.011761857656095671,985806.4822291997,2.7601470741842995,13.619972469152682
9.000000000000001e-09,0.012869517396490844,1107659.7403951718,3.4846697610736346,12.90943584020263
1e-08,0.014095500622420971,1225983.2259301273,4.268919263228645,12.117381596123574
1.1000000000000001e-08,0.01543590050051552,1340399.8780945484,5.102906892035739,11.246333771410113
1.2000000000000002e-08,0.016886445586546835,1450545.0860313151,5.9760104632170155,10.404164129814113
1.3e-08,0.018442513437215768,1556067.850668931,6.877109587564725,9.519761290552541
1.4000000000000001e-08,0.02009914534046392,1656631.903248152,7.794727307123068,8.5747374900571
1.5000000000000002e-08,0.02185106211737154,1751916.7769076196,8.71717627285096,7.660359381045527
1.6e-08,0.02369268094528522,1841618.827913678,9.632707601956291,6.765934459743818
1.7e-08,0.025618133148565255,1925452.2032800359,10.529660518962265,5.8283168649458545
1.8000000000000002e-08,0.02762128290025901,2003149.751693756,11.396610874584235,4.997091799548748
1.9e-08,0.029695746775103747,2074463.8748447385,12.222516650788455,4.166709973737564
2e-08,0.03183491409154951,2139167.316445765,12.996858598789938,3.3778978678156797
2.1000000000000003e-08,0.03403196797797825,2197053.8864287427,13.70977421873656,2.6910845264451346
2.2000000000000002e-08,0.03627990709598761,2247939.118009353,14.352183374630986,2.0011565064623333
2.3e-08,0.038571567951513855,2291660.855526245,14.915903944580734,1.4875661704733467
2.4000000000000003e-08,0.04089964772269536,2328079.7711815042,15.393756033383013,0.9649090741466644
2.5000000000000002e-08,0.04325672753173107,2357079.8090357087,15.779653420128183,0.6229443577291889
2.6e-08,0.04563529608657376,2378568.5548426933,16.068681076088254,0.3014821255710025
2.7e-08,0.048027773617119233,2392477.5305454717,16.257157765574632,0.14338647365372736
2.8000000000000003e-08,0.05042653602961408,2398762.4124948485,16.342682932441562,0.034974519010354754
2.9e-08,0.052823939202309406,2397403.1726953257,16.324167275059764,0.073548888722339
3.0000000000000004e-08,0.0552123433449376,2388404.1426281948,16.201846620338344,0.1818379186538124
3.1e-08,0.057584137344386034,2371793.9994484326,15.977278920086855,0.41610008747019833
3.2e-08,0.059931763018985416,2347625.6745993835,15.653324407973694,0.7364606941576852
3.3000000000000004e-08,0.06224773920412186,2315976.1851364463,15.234109169814111,1.1516640226990162
3.4e-08,0.06452468559241915,2276946.388297289,14.724972591179348,1.6712870426595288
3.5e-08,0.06675534625251985,2230660.660100695,14.13239935166664,2.2391847049314535
3.6000000000000005e-08,0.0689326127515181,2177266.4989982527,13.46393683199344,2.9373555405548397
3.7e-08,0.07104954680736003,2116934.055841927,12.728098985870314,3.617513238605376
3.8e-08,0.07309940239902539,2049855.5916653627,11.934257900999988,4.4652478765207135
3.9000000000000005e-08,0.0750756472640322,1976244.8650068063,11.092524430349098,5.28513935087522
4e-08,0.07697198371475825,1896336.4507260572,10.213619414046793,6.166431541076919
4.1e-08,0.07878236870724442,1810384.9924861733,9.308737132108106,7.089028225713729
4.2000000000000006e-08,0.08050103309852646,1718664.3912820423,8.389402727132941,7.967402635894005
4.3e-08,0.0821225000311282,1621466.9326017285,7.467325412933774,8.917481651951825
4.4000000000000004e-08,0.08364160238613026,1519102.3550020668,6.554249338718075,9.841288092398667
4.5000000000000006e-08,0.08505349924919693,1411896.863066667,5.66180400831186,10.703448964086515
4.6e-08,0.08635369133708866,1300192.0878917293,4.801356159578001,11.564898160853723
4.7000000000000004e-08,0.08753803533550095,1184343.9984122862,3.9838649905849977,12.408166552857761
4.8000000000000006e-08,0.08860275710253908,1064721.7670381372,3.2197425764556185,13.171514721555127
4.9e-08,0.08954446369575343,941706.593214353,2.5187212547131033,13.852510109928957
5.0000000000000004e-08,0.09036015418440872,815690.4886552962,1.8897296681874889,14.448982594072
5.1e-08,0.09104722921253197,687075.0281232501,1.3407790442765732,15.022721460907956
5.2e-08,0.09160349928226451,556270.0697325394,0.87886115897947,15.500987850667912
5.3000000000000005e-08,0.09202719173112166,423692.44885714265,0.5098592852961668,15.877941229640676
5.4e-08,0.09231695638092557,289764.64980391425,0.23847326020957055,16.15238036276124
5.5e-08,0.09247186984040996,154913.459484385,0.06815962464348434,16.323430696495087
5.6000000000000005e-08,0.09249143844778544,19568.607375479012,0.0010875988111742915,16.390547145772807
5.7e-08,0.09237559984388861,-115838.60389682534,0.03811145367982739,16.35351583100922
5.8e-08,0.09212472317090163,-250876.67298697878,0.17875963044508145,16.21245475967229
5.9000000000000006e-08,0.09173960789600903,-385115.27489260316,0.4212407465967567,15.967813450229457
6.000000000000001e-08,0.09122148126374044,-518126.6322685877,0.7624664120788058,15.620371499669734
6.1e-08,0.09057199438511786,-649486.878622581,1.198090564942703,15.171236099166766
6.2e-08,0.08979321697607007,-778777.4090477924,1.7225648254909656,14.621838505799335
6.300000000000001e-08,0.08888763076188133,-905586.2141887301,2.3292091638860666,14.03362671105894
6.4e-08,0.0878581215686924,-1029509.1931889353,3.010296981158192,13.376842210504059
